unique_samplingProtocol_value,n_count,proportion_of_all_values_incl_null
Box Core; subsamplingcoefficient: 1,9052,3.748816955658888e-05
MRCON04100000006_METH_001,9042,3.744675531713176e-05
Commercial Gear: Gillnet,9001,3.727695693535755e-05
midwater trawl,8985,3.721069415222615e-05
MRMLN004000000AD_METH_001,8894,3.6833824573166316e-05
Collecting method: Marutoku net; Vessel: TANKAI; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,8825,3.654806632091216e-05
Beam trawl,8721,3.6117358230558065e-05
MRCON0530000000A_METH_002,8708,3.6063519719263804e-05
Peterson bottom sediments sampling,8692,3.5997256936132405e-05
https://doi.org/10.3389/fmars.2020.572680,8639,3.5777761467009645e-05
"beam trawl 6 m used, mesh size (in m) 0.02",8638,3.5773620043063935e-05
"Several field of views could occur over 1 second of video, if speed over ground was high. As such, for each second of video, the video was stopped, crinoids were counted in view then video restarted until new individuals appeared, and video was paused again.",8632,3.574877149938966e-05
capture for bio-logging:device type= PTT:device id= 6393,8597,3.5603821661289725e-05
MRCON0530000000A_METH_004,8535,3.534705337665555e-05
MRUMU10000000009_METH_001,8480,3.511927505964137e-05
The presence or absence of the focal species,8247,3.4154323280290374e-05
MRMLN00100000047_METH_001,8198,3.395139350695047e-05
MRCON0530000000A_METH_003,8146,3.373603946177342e-05
"Van Veen (0,100)",8113,3.359937247156491e-05
capture for bio-logging:device type= PTT:device id= 60037,8111,3.3591089623673484e-05
capture for bio-logging:device type= PTT:device id= 6394,8098,3.353725111237922e-05
Motoda Net XX13 | https://www.bco-dmo.org/instrument/555 | Mesh size of 100 microns | Single net or net pair vertical tow (1) | Wiebe et al. (2015). A vocabulary for the configuration of net tows for collecting plankton and micronekton. J. Plankton Res. 37(1):21-27. doi:10.1093/plankt/fbu101,8066,3.3404725546116426e-05
MRSNH0160000000B_METH_003,8015,3.319351292488509e-05
MRUMU1000000001D_METH_001,7923,3.281250192187955e-05
Seine net,7921,3.280421907398812e-05
MBAMNMMP00000001_METH_007,7905,3.2737956290856725e-05
"Vessel: Bios; Fish samples were taken with a cotton bottom otter-trawl net with wing mesh-size of 55 mm, cod-end mesh-size of 20 mm, foot-rope length of 36.3 m and head-rope length of 29.1 m",7904,3.2733814866911015e-05
Collecting method: Marutoku B net; Vessel: IWAKI; Wire length: 150; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,7897,3.270482489929103e-05
BACT_NUC-RNA(10L-or-10min)_W0.22-3,7835,3.2448056614656856e-05
MRMIT60000000018_METH_001,7822,3.2394218103362595e-05
Sanders epibenthic sledge,7773,3.219128833002268e-05
unknown,7682,3.181441875096286e-05
cbs swath transects https://marine.ucsc.edu/methods/biodiversity-methods.html#bio-method-swath,7667,3.175229739177717e-05
Trap,7630,3.159906470578581e-05
Van Veen grab,7584,3.140855920428304e-05
Collecting method: Marutoku net; Vessel: TENYO; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,7560,3.130916502958594e-05
MRCON05300000008_METH_001,7535,3.120562943094313e-05
SOCKEYE MIGRATION,7534,3.120148800699742e-05
MRCON0510000000B_METH_001,7529,3.118078088726885e-05
dive,7521,3.1147649495703156e-05
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/5998/,7500,3.106067959284319e-05
capture for bio-logging:device type= PTT:device id= 78114,7492,3.10275482012775e-05
rotenone,7406,3.067138574194622e-05
MRMIT6000000001C_METH_003,7366,3.050572878411773e-05
pump,7336,3.0381486065746357e-05
MRNE014100000003_METH_004,7334,3.037320321785493e-05
MRCON04300000002_METH_106,7333,3.036906179390922e-05
MRNE01080000000A_METH_001,7317,3.030279901077782e-05
"Vertical tows by Hensen net (73 cm mouth diameter, 330 µm mesh size) from above the bottom to the surface (100–0 m) at towing speed of 0.3 m/s",7308,3.026552619526641e-05
Variable (museum collection) - sieve mesh size: 1 mm,7277,3.0137142052949322e-05
capture for bio-logging:device type= PTT:device id= 69040,7268,3.0099869237437912e-05
MRUMU1000000001A_METH_001,7177,2.972299965837808e-05
MRMIT6000000001C_METH_004,7152,2.961946405973527e-05
stratified oblique trawl | opening-closing | IYGPT,7119,2.9482797069526758e-05
JNCCMNCR10000242_METH_004,7099,2.9399968590612512e-05
Juday-bogorov Net (300µm mesh size).,7099,2.9399968590612512e-05
"Dredge, rock",7078,2.931299868775255e-05
"Identification and abundance scaling of each algal, invertebrate and lichen macrospecies observed from top to lowshore; abundance estimation based on the SACFOR scale",7075,2.9300574415915414e-05
capture for bio-logging:device type= PTT:device id= 24656,7049,2.919289739332689e-05
JNCCMNCR10000434_METH_001,7045,2.917633169754404e-05
stratified oblique trawl | opening-closing | IYGPT with MIDOC | https://cchdo.ucsd.edu/data/12287/10003-DOC-0041-01-201516MarineDataVoyageReportV3.docx,7038,2.9147341729924052e-05
MRCON04100000008_METH_001,7012,2.903966470733553e-05
horizontal | opening-closing | IYGPT,6960,2.8824310662158484e-05
bottom trawl,6956,2.8807744966375633e-05
Gear=NA; TagType=spaghetti tag; TagAttachment=T-bar,6948,2.8774613574809934e-05
Censos visuales alrededor de la isla con método de transectos,6937,2.8729057911407097e-05
Gear=otter trawl; TagType=yellow/red disc; TagAttachment=stainless steel wire,6920,2.8658653704329988e-05
capture for bio-logging:device type= PTT:device id= 69044,6912,2.8625522312764286e-05
ICHTHYOCIDE,6902,2.8584108073307163e-05
Redes de arrastre,6886,2.8517845290175764e-05
https://doi.org/10.1093/icesjms/fsaa225,6868,2.8443299659152942e-05
ichthyocide,6823,2.825693558159588e-05
MRCCW30000000061_METH_002,6810,2.820309707030162e-05
seine,6795,2.8140975711115932e-05
MRUMU100000000C8_METH_001,6788,2.8111985743495946e-05
electrofishing,6788,2.8111985743495946e-05
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/6763/,6735,2.789249027437319e-05
EBS,6710,2.7788954675730378e-05
Sampling device : Pump  -  Size filter : generally before 2007 1.2 micrometers and after 2007 0.7 micrometers,6706,2.7772388979947527e-05
MRCON0510000000B_METH_003,6679,2.766057053341329e-05
Daily sightings of jellyfish by citizens from 2009 to 2017,6669,2.761915629395617e-05
MRCON05300000004_METH_001,6649,2.753632781504192e-05
"The date is arbitary set to the 1st of the month because the exact day is not available. Aerial survey is carried out during the specified month at great coefficient low tide. The position of the algae and their total surface of deposit can vary during the month, the situation reported corresponds to the situation on the day of the flight.",6640,2.7499054999530506e-05
Hayward grab,6637,2.748663072769337e-05
METH1,6636,2.7482489303747658e-05
MRCED00500000008_METH_001,6624,2.7432792216399107e-05
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/8276/,6608,2.736652943326771e-05
https://publications.gc.ca/collections/collection_2017/mpo-dfo/Fs97-6-3158-eng.pdf,6573,2.7221579595167775e-05
Collecting method: Marutoku net; Vessel: MITO; Wire length: ; angle(º): ; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,6572,2.721743817122206e-05
Recolecta manual,6552,2.7134609692307815e-05
"beam trawl 4.5 m used, mesh size (in m) 0.08",6545,2.7105619724687826e-05
MRMCS01900000013_METH_001,6539,2.7080771181013554e-05
Commercial Gear: Cod trap (NF),6526,2.702693266971929e-05
capture for bio-logging:device type= PTT:device id= 22490,6479,2.6832285744270808e-05
"counts were the maximum number of seals observed (visible at the surface) within a three minute duration, separated by a three minute interval, for one hour per site",6469,2.679087150481368e-05
standard lobster trap baited with flounder,6445,2.6691477330116584e-05
STROMER,6440,2.6670770210388022e-05
ND,6422,2.65962245793652e-05
BACT_NUC-DNA(100L)_W0.22-1.6,6411,2.6550668915962363e-05
standard lobster trap baited with gaspereau,6388,2.6455416165210976e-05
MRCON02200000002_METH_034,6379,2.6418143349699563e-05
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/6767/,6370,2.6380870534188153e-05
Gear=angling or dip net; TagType=spaghetti tag; TagAttachment=T-bar,6364,2.6356021990513878e-05
Gridded monthly summaries from catch records,6356,2.632289059894818e-05
MRCON02200000002_METH_006,6356,2.632289059894818e-05
capture for bio-logging:device type= PTT:device id= 69046,6338,2.6248344967925356e-05
MRMLN00400000081_METH_001,6330,2.6215213576359654e-05
Sampling instrument: 91: Observers,6322,2.6182082184793955e-05
JNCCMNCR10000030_METH_002,6317,2.6161375065065393e-05
MT 1600,6306,2.6115819401662556e-05
MRCON04300000002_METH_099,6293,2.6061980890368295e-05
Hydro,6253,2.58963239325398e-05
MRNE010800000038_METH_002,6235,2.5821778301516974e-05
Sampling device: KC demark small plankton net;  net mesh size: 100 µm,6234,2.5817636877571263e-05
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/9357/,6222,2.5767939790222713e-05
capture for bio-logging:device type= PTT:device id= 69041,6216,2.5743091246548438e-05
capture for bio-logging:device type= PTT:device id= 69049,6211,2.5722384126819876e-05
JNCCMNCR10000031_METH_002,6195,2.5656121343688478e-05
capture for bio-logging:device type= PTT:device id= 82073,6157,2.5498747233751406e-05
GearType= Midwater trawl,6131,2.5391070211162884e-05
"Samples were taken by 1L Nansen bottle at  standard depths. The standard sedimentation technique for samples preparation (Morozova-Vodianitkaia, 1954) was used.",6118,2.533723169986862e-05
GearType=longline,6088,2.5212988981497247e-05
capture for bio-logging:device type= PTT:device id= 43871,6049,2.5051473447614465e-05
Grab,6044,2.5030766327885903e-05
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/5387/,6035,2.499349351237449e-05
MRCCW3000000005A_METH_002,6021,2.4935513577134516e-05
Utermöhl method,5993,2.4819553706654567e-05
MRCON01500000003_METH_004,5946,2.4624906781206085e-05
capture for bio-logging:device type= PTT:device id= 98219,5934,2.4575209693857535e-05
AMBON cruise line transect survey,5925,2.453793687834612e-05
capture for bio-logging:device type= PTT:device id= 43846,5922,2.4525512606508984e-05
Quantitative sampling of Macrozoobenthos,5909,2.4471674095214723e-05
capture for bio-logging:device type= PTT:device id= 43859,5878,2.434328995289764e-05
https://www.bodc.ac.uk/resources/inventories/cruise_inventory/report/6514/,5862,2.427702716976624e-05
capture for bio-logging:device type= PTT:device id= 4276,5844,2.4202481538743416e-05
crypticfish -- BOT,5810,2.4061673124589195e-05
capture for bio-logging:device type= PTT:device id= 43881,5805,2.4040966004860634e-05
Sampling device : Niskin bottle 5L,5794,2.3995410341457797e-05
MRNE017000000004_METH_002,5780,2.3937430406217822e-05
Underwater visual census using SCUBA diving gear,5775,2.391672328648926e-05
http://ipt.sb-roscoff.fr/ipt/resource?r=benthobs-riv-mlx#methods,5774,2.3912581862543547e-05
MRCCW30000000051_METH_002,5771,2.390015759070641e-05
capture for bio-logging:device type= PTT:device id= 24654,5750,2.381318768784645e-05
Commercial Gear: Linetrawl,5742,2.378005629628075e-05
Plankton pump sampler,5730,2.37303592089322e-05
MRCCW30000000062_METH_002,5728,2.3722076361040776e-05
Field observations were conducted for 1–2 hours during low tide,5724,2.3705510665257924e-05
"Quadrat 40 x 40 cm (0,16 m2)",5714,2.36640964258008e-05
Alicuotas de la muestra tomada con red,5709,2.364338930607224e-05
