unique_samplingProtocol_value,n_count
MRMCS0150000008B_METH_002,540
capture for bio-logging:device type= GLS:device id= 544,540
capture for bio-logging:device type= GLS:device id= 24909,540
"Sampling device : Carottier PVC diam. 12 cm (0,0113 m²) ; Comptage des taxons après tamisage 1 mm (maille carrée)",540
standard lobster trap baited with mackerel/ flounder,540
JNCCMNCR60000717_METH_001,540
MRNE013700000021_METH_001,539
MRSNH03000000005_METH_001,539
capture for bio-logging:device type= GPS:device id= GPS272,539
MRMCS01500000006_METH_003,539
MRNE01370000000C_METH_002,539
capture for bio-logging:device type= GLS:device id= 24913,539
MRNIR0020000000E_METH_002,539
TrawlType=B.TR. 28; HorizontalOpeningInM=17; VerticalOpeningInM=5; WarpLengthInM=1800,538
MRLRC00700000004_METH_002,538
MRLRC0080000002B_METH_001,537
MRMCS017000000DC_METH_001,537
Hand-sampling,536
MRMCS01600000018_METH_002,536
NCD_METH03,536
"About an hour observation by skin-diving or scuba diving. The presence of fungiid species was noted with a pencil on a plastic board. If corals coud not directly be identified in the field, they were collected for further study.",536
MRMCS0050000002B_METH_002,536
capture for bio-logging:device type= GPS:device id= GPS104,536
MRMCS01800000011_METH_002,535
JNCCMNCR20000830_METH_001,535
capture for bio-logging:device type= GPS:device id= GPS112,535
capture for bio-logging:device type= PTT:device id= 17199,535
MRMCS00100000046_METH_002,534
capture for bio-logging:device type= GLS:device id= 4855,534
JNCCMNCR10000617_METH_001,534
JNCCMNCR10000635_METH_001,534
capture for bio-logging:device type= GPS:device id= GPS268,534
MRCCW30200000018_METH_001,533
MRUMU1000000003E_METH_001,532
MRPMN00100000042_METH_002,532
JNCCMNCR70000509_METH_001,531
MRNE023200000002_METH_002,531
capture for bio-logging:device type= GLS:device id= 4857,531
capture for bio-logging:device type= GPS:device id= 73,531
sediment traps and sedimentation rate measurements,531
MRNIR009000000EF_METH_002,531
MRMLN00400000047_METH_001,531
MRMES00200000022_METH_001,530
MRPMN00100000065_METH_001,530
Red bongo (zooplancton),530
capture for bio-logging:device type= GLS:device id= 1111,530
DSN(BA),530
MRMCS01500000088_METH_001,529
JNCCMNCR10000241_METH_014,529
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: 150; angle(º): 9; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,529
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: ; angle(º): 46; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,529
capture for bio-logging:device type= PTT:device id= 44574,529
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: ; angle(º): 23; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,529
capture for bio-logging:device type= PTT:device id= 44571,529
MRMLN0040000009A_METH_001,528
MRSNH01800000003_METH_005,528
MRMLN00100000009_METH_001,528
Dropframe,527
MRMCS00200000068_METH_002,527
MRCCW16300000007_METH_002,527
MRMCS01500000069_METH_001,527
capture for bio-logging:device type= GLS:device id= 22667,526
capture for bio-logging:device type= GPS:device id= 119,526
capture for bio-logging:device type= GPS:device id= 318,526
Samples were collected from different depths within layer 0-100m by bathometer and bucket from the surface. Net samples were collected within layer 0-10m by Apshtein plankton net - mesh 55 um.,526
Collecting method: Marutoku net; Vessel: SHOYO; Wire length: 150; angle(º): 34; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,526
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: 150; angle(º): 40; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,526
"Sampling device : Carottier PVC diam. 19 cm (0,028 m²) ; Comptage des taxons après tamisage 1 mm (maille carrée)",526
Collecting method: Marutoku net; Vessel: KAIUN; Wire length: 150; angle(º): 30; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,526
MRCCW16300000049_METH_003,526
MRLRC00700000019_METH_002,525
capture for bio-logging:device type= GLS:device id= 4816,525
JNCCMNCR10000387_METH_001,525
JNCCMNCR10000230_METH_001,524
Red de niebla,524
capture for bio-logging:device type= GLS:device id= 4333,524
MRSNH02500000002_METH_002,524
MRMLN00400000013_METH_001,524
TrawlType=B.TR. 27.1; HorizontalOpeningInM=16; VerticalOpeningInM=8; WarpLengthInM=1000,524
MRLRC02300000002_METH_001,524
MRMES00200000021_METH_002,524
capture for bio-logging:device type= PTT:device id= 978073,524
MRMLN00400000030_METH_001,524
capture for bio-logging:device type= GLS:device id= 4792,524
MRPMN0010000006B_METH_001,524
MRCCW300000000A5_METH_001,524
capture for bio-logging:device type= PTT:device id= 44559,523
Yachting,523
MRNE01080000001E_METH_003,522
MRMCS007000000A7_METH_002,522
MRMCS0200000006C_METH_001,522
MRMCS022000000B0_METH_001,522
JNCCMNCR10000247_METH_004,521
MRMCS0050000004F_METH_002,521
"1 gal. noxfish, hand, dipnet",521
MRNE017100000002_METH_001,521
"Small beam trawl. Beam 2.45m in length, 12.5mm mesh",521
MRSHS00100000010_METH_002,520
JNCCMNCR10000240_METH_001,520
MRMCS02000000046_METH_001,520
capture for bio-logging:device type= PTT:device id= 104917,520
MRMCS00500000076_METH_001,519
TrawlType=B.TR. 27.1; HorizontalOpeningInM=16; VerticalOpeningInM=8; WarpLengthInM=300,519
Mesh net cast; Mitchell et al. 2002,519
net,519
MRMCS01500000077_METH_002,519
MRNE01080000001B_METH_002,519
capture for bio-logging:device type= GLS:device id= 4797,518
MRNE010800000018_METH_002,518
Deep ROVER & NADIR,518
MRCCW3160000000E_METH_001,518
Commercial Gear: Capelin Trap,517
counting,517
capture for bio-logging:device type= GLS:device id= 535,517
MRUMU10000000028_METH_001,517
GearType=Mocness,517
capture for bio-logging:device type= GLS:device id= 5564,516
MRMCS00500000062_METH_002,516
MRLRC02200000075_METH_001,516
capture for bio-logging:device type= GLS:device id= 10365,516
MIRAI/VMPS,515
MRMCS01500000016_METH_002,515
capture for bio-logging:device type= GLS:device id= 1116,514
MRUMU1000000009F_METH_001,514
capture for bio-logging:device type= PTT:device id= 17371,514
JNCCMNCR10000737_METH_001,514
capture for bio-logging:device type= PTT:device id= 22922,514
capture for bio-logging:device type= GLS:device id= 536,513
MRSNH03000000003_METH_002,513
"Sampling device : Carottier TASM diam. 15,9 cm (0,02 m²) ; Comptage des taxons après tamisage 1 mm (maille carrée)",513
capture for bio-logging:device type= GLS:device id= 4785,513
MRSS0010000000B_METH_002,513
capture for bio-logging:device type= PTT:device id= 44572,512
MRSNH01800000019_METH_001,512
MRMCS01700000117_METH_001,511
capture for bio-logging:device type= PTT:device id= 17374,511
hanging float,511
capture for bio-logging:device type= PTT:device id= 35671,511
Arrastre oblicuo Red minibongo 500 micras,511
MRMCS0160000001C_METH_002,511
capture for bio-logging:device type= GPS:device id= FT68,510
"Smith-Mclntyre grabs,AQUAREVE dredge samples,Reineck Cores,Scuba divers  quadrats for macrofauna,Sea Urchins collected, CTD",510
MRSS00100000007_METH_002,510
capture for bio-logging:device type= GLS:device id= 4884,510
capture for bio-logging:device type= GLS:device id= 4891,510
capture for bio-logging:device type= PTT:device id= 92568,509
capture for bio-logging:device type= PTT:device id= 25998,509
capture for bio-logging:device type= GLS:device id= 4788,509
MRMCS01600000023_METH_001,509
capture for bio-logging:device type= GLS:device id= 4794,509
stratified oblique trawl  | opening-closing | RMT25 | https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/john_biscoe11.pdf,509
capture for bio-logging:device type= GLS:device id= 5549,509
MRMCS00500000074_METH_001,508
capture for bio-logging:device type= GPS:device id= GPS126,508
"Physicochemical parameters, Maltese shrimp dredge,bottom set gill-nets, van Veen grab samples,tested box-corer, Scuba divers.",508
capture for bio-logging:device type= PTT:device id= 60047,508
capture for bio-logging:device type= GPS:device id= 43,508
MRNE010800000036_METH_003,508
capture for bio-logging:device type= GLS:device id= 4282,508
SPORT,507
MRMCS005000000A1_METH_001,507
JNCCMNCR10000300_METH_001,507
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: 150; angle(º): 2; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,507
capture for bio-logging:device type= GLS:device id= 1118,507
MRLRC00200000020_METH_001,507
capture for bio-logging:device type= GLS:device id= 4882,507
MRMCS00100000068_METH_001,506
standard lobster trap baited with frozen herring/salt herring,506
opening-closing | RMT25,505
MRMCS007000000A5_METH_001,505
capture for bio-logging:device type= PTT:device id= 54497,505
capture for bio-logging:device type= GLS:device id= 1191,505
TrawlType=B.TR. 31; HorizontalOpeningInM=16; VerticalOpeningInM=9; WarpLengthInM=1800,505
capture for bio-logging:device type= PTT:device id= 44564,505
capture for bio-logging:device type= GPS:device id= 110,504
Aerial survey,504
MRMCS0200000004E_METH_002,504
Collecting method: Marutoku net; Vessel: HOKKO; Wire length: 150; angle(º): 4; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,504
MRMCS01500000092_METH_002,504
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: 150; angle(º): 23; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,504
census,504
doi:10.1007/s00300-011-1100-4,504
MRCCW16300000091_METH_002,504
"""",504
capture for bio-logging:device type= GLS:device id= 4838,504
Collecting method: Marutoku net; Vessel: HOKKO; Wire length: 150; angle(º): 23; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,504
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: 150; angle(º): 8; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,504
MRMCS007000000C0_METH_002,504
capture for bio-logging:device type= GLS:device id= 4847,503
MRDAER0100000028_METH_001,503
MRSNH01800000030_METH_006,503
MRMCS02000000037_METH_002,503
capture for bio-logging:device type= GLS:device id= 4822,503
capture for bio-logging:device type= GLS:device id= 10367,503
capture for bio-logging:device type= PTT:device id= 23198,502
MRNE015400000018_METH_001,502
capture for bio-logging:device type= PTT:device id= 98218,502
MRCON04100000005_METH_001,502
Arrastre vertical con flujómetro y red de plancton de 200 µm Cada muestra concentrada en 500 ml y fijada con formalina | Muestra fraccionada mediante Folsom 1/128  y estandarizada al volumen total filtrado,502
MRSNH01600000004_METH_001,502
MRSNH01800000015_METH_001,501
"Densité, biomasse et mesures morphométriques des algues",501
capture for bio-logging:device type= GLS:device id= 4807,501
KAIMEI/Crambon/Slurp gun,500
capture for bio-logging:device type= PTT:device id= 113210,500
MRSNH0160000000B_METH_001,500
MRMCS022000000B3_METH_002,500
Gear=handline; TagType=Lea hydrostatic; TagAttachment=stainless steel loop,500
JNCCMNCR10000244_METH_001,500
MRMCS01700000008_METH_001,500
MRCCW1630000002C_METH_002,499
MRMCS005000000E4_METH_001,499
capture for bio-logging:device type= PTT:device id= 25862,498
MRCCW3000000004E_METH_002,498
MRCCW16300000008_METH_001,498
capture for bio-logging:device type= PTT:device id= 19126,498
capture for bio-logging:device type= GLS:device id= 4278,498
capture for bio-logging:device type= PTT:device id= 43922,498
MRCCW16300000048_METH_003,498
MRMCS00100000060_METH_002,497
capture for bio-logging:device type= PTT:device id= 88733,497
MRLRC00300000007_METH_002,497
capture for bio-logging:device type= PTT:device id= 44575,497
capture for bio-logging:device type= GLS:device id= 24912,497
MRLRC01200000014_METH_002,496
TrawlType=B.TR. 28; HorizontalOpeningInM=17; VerticalOpeningInM=5; WarpLengthInM=1150,496
MRSNH01600000008_METH_003,496
"Tube (diameter 12,5 cm, sample size 122,72cm^2)",496
Cámara trampa,496
MRMCS00100000020_METH_002,495
MRMIT6000000000A_METH_001,495
capture for bio-logging:device type= PTT:device id= 25991,495
TrawlType=B.TR. 25; HorizontalOpeningInM=15; VerticalOpeningInM=3; WarpLengthInM=1200,494
MRUMU10000000053_METH_001,494
Gear=otter trawl; TagType=yellow/red disc; TagAttachment=stainless steel pin,494
capture for bio-logging:device type= GLS:device id= 22676,494
MRMCS007000000C5_METH_001,493
GearType=on Sounding lead,493
MRMCS01600000003_METH_002,493
Baillie sounding rod,493
MRMES00200000018_METH_002,493
capture for bio-logging:device type= GLS:device id= 22672,493
JNCCMNCR10000093_METH_001,493
MRSNH0300000003C_METH_003,493
Avistamiento desde embarcación,492
capture for bio-logging:device type= GLS:device id= 1119,492
MRMCS01500000094_METH_001,492
MRCCW30500000013_METH_001,492
MBAMNMMP00000001_METH_005,491
MRNE013400000063_METH_001,491
MRMCS02200000005_METH_001,491
"Dredge, letterbox",491
capture for bio-logging:device type= PTT:device id= 3268,491
"Grab, Twin Hayward, Orange Peel",490
box corer,490
MRNE01080000001F_METH_001,490
MRUMU10000000043_METH_001,490
JNCCMNCR10000369_METH_001,490
MRCON04200000005_METH_002,490
MRLRC003000000A6_METH_001,490
capture for bio-logging:device type= GLS:device id= 541,490
Nucleador (Corazonador) de 0.02 m2,489
MRCCW10000000029_METH_003,489
MRNE010800000041_METH_001,489
HOV Alvin,489
MRSNH0180000000D_METH_001,488
MRMCS00100000012_METH_001,488
MRMCS0170000001A_METH_002,488
MRMCS01600000014_METH_002,488
DASSHDT00000405:DayGrab,488
DASSHDT00000132_METH_02,488
"Sampling device : Corer 0,1m2 - depth 15 cm ; Taxon count after sieving 1 mm (square mesh)",488
capture for bio-logging:device type= GPS:device id= GPS128,488
"Samples were taken by 7 L Niskin bathometer at standard depths: 0, 10, 25, 30, 50, and 100 m.",488
MRLRC00300000064_METH_002,487
capture for bio-logging:device type= GLS:device id= 4804,487
MRSNH03500000005_METH_001,487
capture for bio-logging:device type= GLS:device id= 4231,487
MRMCS005000000CD_METH_002,487
capture for bio-logging:device type= PTT:device id= 25864,487
capture for bio-logging:device type= GPS:device id= GPS50,486
MRUMU1000000005A_METH_001,486
JNCCMNCR10000328_METH_001,486
capture for bio-logging:device type= GLS:device id= 4329,486
capture for bio-logging:device type= GLS:device id= 4281,486
capture for bio-logging:device type= GLS:device id= 4280,486
hand net and fishing,486
capture for bio-logging:device type= GLS:device id= 22663,486
capture for bio-logging:device type= GPS:device id= GPS261,485
MRMCS00700000002_METH_001,485
capture for bio-logging:device type= PTT:device id= 68227,485
JNCCMNCR10000700_METH_001,485
Sampling: Bongo net|Mesh size: 505 μm,485
MRMCS00100000061_METH_002,485
Conteo terrestre,484
TrawlType=B.TR. 28; HorizontalOpeningInM=17; VerticalOpeningInM=5; WarpLengthInM=1250,484
capture for bio-logging:device type= GPS:device id= GPS116,484
MRSNH03000000033_METH_001,484
MRSNH0300000000C_METH_001,484
JNCCMNCR10000326_METH_001,483
capture for bio-logging:device type= PTT:device id= 98139,483
capture for bio-logging:device type= GLS:device id= 4305,483
capture for bio-logging:device type= GLS:device id= 10368,483
MRSNH0110000000E_METH_001,483
capture for bio-logging:device type= GLS:device id= 4789,483
MRMCS00500000030_METH_001,483
Zooplankton samples were collected by vertical tows using a conical plankton net (length: 1.8m; mouth diameter: 0.45m; mesh size opening: 300micrometer) from 50 m depth to the surface.,482
JNCCMNCR40000817_METH_001,482
capture for bio-logging:device type= GLS:device id= 4277,482
Direct Observation,482
JNCCMNCR10000253_METH_004,482
capture for bio-logging:device type= PTT:device id= 131185,482
450m repeats,482
Sampling instrument: 59: sampling extent marker,481
capture for bio-logging:device type= PTT:device id= 19132,481
MRMES0020000001A_METH_001,481
MRNIR003000000D9_METH_004,481
MRNIR009000000F0_METH_005,481
"Scuba diving, plexiglas frame of 25x25cm with a net attached to its top was pressed to rock, surface was scraped and sample sucked into a collection net of 60Βµm mesh size by help of a suction device attached to a dive bottle. Samples were preserved in 96% Ethanol.",480
MRMCS0220000009F_METH_001,480
capture for bio-logging:device type= GPS:device id= GPS119,480
capture for bio-logging:device type= GLS:device id= 4232,480
Visual sighting,480
GearType=Plankton net,479
capture for bio-logging:device type= GLS:device id= 4826,479
MRMCS01800000013_METH_002,478
capture for bio-logging:device type= PTT:device id= 41147,478
capture for bio-logging:device type= GLS:device id= 5559,478
MRMCS0050000006F_METH_002,478
capture for bio-logging:device type= GLS:device id= 4842,478
MRSNH00900000002_METH_002,478
capture for bio-logging:device type= PTT:device id= 25993,478
capture for bio-logging:device type= PTT:device id= 2161,477
GearType= Conical net with 100 µm monyl mesh and mouth area of 0.2m2,477
MRMCS03100000002_METH_001,477
MRLRC00200000018_METH_001,477
MRMCS00500000038_METH_002,476
MRNIR00400000003_METH_001,476
capture for bio-logging:device type= PTT:device id= 44532,476
deep plankton haul,476
MRMCS0050000002B_METH_001,476
capture for bio-logging:device type= PTT:device id= 4278,476
MRCED0050000010B_METH_001,476
capture for bio-logging:device type= GLS:device id= 4782,476
capture for bio-logging:device type= GLS:device id= 4810,475
MRMCS01600000030_METH_001,475
MRMCS0200000000D_METH_002,475
Captura manual,475
Blood,475
capture for bio-logging:device type= GLS:device id= 4819,475
JNCCMNCR10000337_METH_001,475
MRMCS0010000005C_METH_001,474
MRMCS01500000012_METH_001,474
JNCCMNCR20000807_METH_001,474
"6 FOOT SEINE, 15 FOOT BAG SEINE",474
capture for bio-logging:device type= GPS:device id= GPS114,473
capture for bio-logging:device type= GLS:device id= 1120,473
MRMCS0050000006A_METH_001,473
MRNE011600000002_METH_001,473
capture for bio-logging:device type= GLS:device id= 4284,472
capture for bio-logging:device type= GLS:device id= 4836,472
TrawlType=B.TR. 25; HorizontalOpeningInM=15; VerticalOpeningInM=3; WarpLengthInM=500,472
capture for bio-logging:device type= PTT:device id= 25992,472
MRNIR00400000011_METH_002,472
capture for bio-logging:device type= GLS:device id= 4846,472
MRNE010800000045_METH_001,471
MRMCS017000000D9_METH_002,471
MRMCS00400000005_METH_002,471
NetType=lined; DoorUsed=15; HaulType=Standard Bottom Sample; Performance=0; Gear=44; Accessories=122; BottomContactMethod=1; BottomDepthMethod=SBE 39 and net mensuration,471
MRMCS00500000045_METH_002,471
capture for bio-logging:device type= PTT:device id= 1173652,471
capture for bio-logging:device type= GLS:device id= 4275,470
MRLRC00300000033_METH_002,470
MRCCW30000000011_METH_002,470
capture for bio-logging:device type= PTT:device id= 112718,470
JNCCMNCR10000338_METH_001,470
MRLRC01200000012_METH_002,470
MRCCW1630000008F_METH_002,470
MRMLN00400000043_METH_001,469
capture for bio-logging:device type= GPS:device id= 311,469
MRNE030000000014_METH_001,469
capture for bio-logging:device type= PTT:device id= 104955,468
capture for bio-logging:device type= GPS:device id= GPL_6B005,468
MRSHS00100000011_METH_002,468
capture for bio-logging:device type= GLS:device id= 4331,467
MRPMN00100000044_METH_001,467
Red de plancton,467
MRLRC0020000001F_METH_001,467
"twin Van Veen grab, 1 mm screen",467
diving,467
MRCON04200000005_METH_003,467
JDT,467
capture for bio-logging:device type= GLS:device id= 4283,467
MRSNH01700000002_METH_002,466
MRNE01340000005B_METH_001,466
capture for bio-logging:device type= GPS:device id= GPS120,466
capture for bio-logging:device type= PTT:device id= 25875,466
capture for bio-logging:device type= GLS:device id= 4293,466
MRMCS00400000003_METH_002,466
JNCCMNCR10000606_METH_001,466
capture for bio-logging:device type= PTT:device id= 119306,466
MRMCS00700000011_METH_002,465
capture for bio-logging:device type= GLS:device id= 4290,465
capture for bio-logging:device type= GLS:device id= 4318,465
MRMLN00400000018_METH_001,465
JNCCMNCR10000435_METH_002,465
capture for bio-logging:device type= PTT:device id= 17375,464
capture for bio-logging:device type= GLS:device id= 4353,464
By foot; Entire sample,464
JNCCMNCR10000631_METH_003,464
capture for bio-logging:device type= GLS:device id= 4805,464
Muestreo puntual de bentos,464
MRNIR0010000000E_METH_001,464
MRMCS005000000BF_METH_002,464
MRNE023100000002_METH_002,463
"{""Method"":""trawl"",""CaptureMethod"":""net"",""VesselLengthinMetres"":""43+"",""TargetSpecies"":""Hoki""}",463
MRCCW1630000000B_METH_002,463
MRNE01340000006D_METH_001,463
SCUBA diving and snorkeling,463
MRLRC00300000056_METH_001,463
JNCCMNCR40000774_METH_001,463
JNCCMNCR10000344_METH_001,463
capture for bio-logging:device type= GLS:device id= 4224,462
capture for bio-logging:device type= GLS:device id= 4229,462
MRMCS00500000091_METH_002,462
JNCCMNCR10000248_METH_003,462
JNCCMNCR10000261_METH_003,462
MRMCS00400000015_METH_001,462
capture for bio-logging:device type= GLS:device id= 4223,461
MRMCS007000000C2_METH_001,461
capture for bio-logging:device type= GPS:device id= GPS269,461
Hydro & Hayward grab,461
MRMCS02000000032_METH_001,461
MRMCS0150000002D_METH_002,461
capture for bio-logging:device type= PTT:device id= 43837,461
MRCED00500000113_METH_001,460
Gear=handline; TagType=Lea hydrostatic; TagAttachment=nylon loop,460
MRLRC02200000074_METH_006,460
MRMCS00500000004_METH_001,460
JNCCMNCR10000013_METH_003,460
SCUBA diving and towing an obsever behind a small boat,460
KAIMEI/KM-ROV/Manipulator,460
MRLRC0080000000E_METH_003,460
"Toma de imágenes con R.O.V (planos generales, medios y primeros planos) en transecto radial | Revisión de video, toma de fotogramas cada 30 segundos | Separación de imagen por filo",460
"Single platform line-transect, distance sampling method",460
MRUMU10000000030_METH_001,459
capture for bio-logging:device type= GLS:device id= 5558,459
Ring net 0.5m,459
GearType=Dredge,459
MRMCS02400000003_METH_003,459
capture for bio-logging:device type= GLS:device id= 4356,459
capture for bio-logging:device type= PTT:device id= 131146,459
MRMCS00500000034_METH_002,458
capture for bio-logging:device type= GLS:device id= 4817,458
"Hydroplane observations,Scuba maerl sampling,Naturalist's dredge and Van Veen grabs samples,Physicochemical parameters(niskin bottle),diver quadrats,cores,in situ UW photography and video,runner dredge, mark buoy,resin cast cores,beam trawl,UW television.",458
Human observation,458
capture for bio-logging:device type= GPS:device id= GPS276,458
MRMCS0040000001D_METH_002,457
TrawlType=B.TR. 27.1; HorizontalOpeningInM=16; VerticalOpeningInM=8; WarpLengthInM=600,457
capture for bio-logging:device type= PTT:device id= 113207,457
MRMCS0050000005B_METH_001,457
capture for bio-logging:device type= GLS:device id= 4837,457
MRCCW16300000058_METH_002,457
TrawlType=B.TR. 31.2; HorizontalOpeningInM=14; VerticalOpeningInM=4; WarpLengthInM=350,457
Censo por encuentro visual,457
Estaciones de muestreo y buceos errantes,457
MRMLN0040000005F_METH_001,456
capture for bio-logging:device type= PTT:device id= 1396,455
6' BT,455
Corazonador 0.16 mᴓ y 20 cm de profundidad,455
capture for bio-logging:device type= PTT:device id= 102101,455
WP2 net-vertical tows (from bottom to surface),455
Commercial trawler “Giannetto” (120 HP; LOA = 19 m). Net with cod-end mesh size of 20 mm.,455
MRMCS0150000003D_METH_002,454
Gear=longline; TagType=Lea hydrostatic; TagAttachment=stainless steel wire,454
capture for bio-logging:device type= PTT:device id= 44560,454
KAIREI/KAIKO/Slurp gun,454
"Sampling device : Carottier 0,1 m² - prof. 15 cm ; Comptage des taxons après tamisage 1 mm (maille carrée)",454
capture for bio-logging:device type= GLS:device id= 4269,454
capture for bio-logging:device type= PTT:device id= 14257,454
MRCON04200000003_METH_002,454
MRMCS00200000016_METH_001,453
capture for bio-logging:device type= PTT:device id= 121211,453
capture for bio-logging:device type= GLS:device id= 4832,453
MRMLN00400000057_METH_002,453
TrawlType=B.TR. 27.1; HorizontalOpeningInM=16; VerticalOpeningInM=8; WarpLengthInM=400,452
standard lobster trap baited with frozen mackeral/ frozen herring,452
MRMCS0190000000B_METH_002,452
MRMCS0070000007B_METH_002,452
MRMCS01500000042_METH_003,452
capture for bio-logging:device type= PTT:device id= 26139,452
MRCCW30000000062_METH_001,452
capture for bio-logging:device type= PTT:device id= 25676,452
sediment core,452
MRMCS00400000023_METH_001,452
Scuba and snorkel dive transects,451
capture for bio-logging:device type= GLS:device id= 4274,451
MRCCW30000000029_METH_002,451
TrawlType=B.TR. 31; HorizontalOpeningInM=16; VerticalOpeningInM=9; WarpLengthInM=850,451
MRNIR00100000021_METH_002,451
MBAMNMMP00000001_METH_010,451
Snorkel,451
capture for bio-logging:device type= PTT:device id= 131147,451
MRMCS01700000114_METH_001,451
"The present study was carried out in situ by using diving, shoreline angling and gill net. All seven stations had been conducted by snorkeling or SCUBA at least 1 to 3 times for each station. Fish species were identified by underwater census supplemented with underwater photographs (slides) or 8 mm video tape.",450
MRNE01370000003B_METH_003,450
MRMCS0050000001D_METH_002,450
MRCON02200000002_METH_019,450
Bongo net (1.5 m net with a 45 cm radius mouth and mesh size of 335 µm),449
capture for bio-logging:device type= PTT:device id= 92125,448
Transectos lineales,448
MRUMU10000000013_METH_001,448
mean number of invertebrates per rhodolith,448
target | opening-closing | RMT 8,448
MRMCS01500000048_METH_002,447
capture for bio-logging:device type= GPS:device id= 138,447
JNCCMNCR10000007_METH_001,447
MRLRC00700000012_METH_002,447
MRLRC00300000042_METH_001,447
observation using drone,447
Draga Retangular,446
capture for bio-logging:device type= PTT:device id= 19131,445
MRUMU10000000019_METH_001,445
GearType=500mm x 500mm quadrat to a depth of 150mm,445
grab,444
MRNE010800000037_METH_001,444
capture for bio-logging:device type= GLS:device id= 4313,444
capture for bio-logging:device type= GLS:device id= 4289,444
MRSNH01800000003_METH_003,444
capture for bio-logging:device type= GLS:device id= 4351,444
MRCCW16900000002_METH_001,444
MRMCS005000000C8_METH_001,443
MRUMU100000000AC_METH_001,443
MRSS0010000000C_METH_001,443
Plankton net with mesh gauges of 200 micrometer e 30 centimeter diameter,443
MRSNH0300000002F_METH_001,443
Pump sampling,443
MRCON0110000000A_METH_001,442
MRMCS022000000AF_METH_002,442
capture for bio-logging:device type= PTT:device id= 25987,442
capture for bio-logging:device type= PTT:device id= 33100,442
MRMCS0040000003B_METH_002,441
Fyke net stations at 4 locations,441
MRNE010800000030_METH_001,441
capture for bio-logging:device type= PTT:device id= 17370,441
MRMLN0040000004B_METH_001,441
MRNE01370000003A_METH_001,441
capture for bio-logging:device type= GLS:device id= 4287,440
MRCON0400000000B_METH_001,440
MRNE017700000009_METH_001,440
capture for bio-logging:device type= GPS:device id= GPL_9008,440
Collecting method: NORPAC net; Vessel: FUJI; Wire length: 159; angle(º): 19; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,440
Collecting method: Marutoku net; Vessel: WAKATAKA; Wire length: 100; angle(º): 2; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,440
MRMCS0010000002B_METH_002,439
MRMCS007000000A8_METH_002,439
capture for bio-logging:device type= GPS:device id= 403,439
MRNE013600000002_METH_003,439
hand net and casting net,438
Fishing,438
MRMCS005000000BA_METH_001,438
capture for bio-logging:device type= GLS:device id= 552,438
capture for bio-logging:device type= GPS:device id= GPS123,438
capture for bio-logging:device type= PTT:device id= 44547,438
Hydro & OPG,438
capture for bio-logging:device type= GLS:device id= 1092,438
Collecting method: Marutoku net; Vessel: HOYO No.12; Wire length: ; angle(º): 7; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,437
Collecting method: Marutoku net; Vessel: HEIWA IBARAKI; Wire length: 150; angle(º): ; Flow meter revolution number: 655; mesh size: 335; Analysis method: micro scope,437
Collecting method: Marutoku net; Vessel: SOYO; Wire length: 150; angle(º): 16; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,437
Collecting method: Marutoku net; Vessel: SOYO; Wire length: ; angle(º): 22; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,437
Collecting method: Marutoku net; Vessel: HAYACHINE; Wire length: 150; angle(º): ; Flow meter revolution number: 453; mesh size: 335; Analysis method: micro scope,437
Collecting method: Marutoku net; Vessel: HEIWA IBARAKI; Wire length: 15; angle(º): ; Flow meter revolution number: 662; mesh size: 335; Analysis method: micro scope,437
Collecting method: Marutoku net; Vessel: CHIBA No.2; Wire length: 150; angle(º): ; Flow meter revolution number: 1690; mesh size: 335; Analysis method: micro scope,437
Collecting method: Marutoku net; Vessel: CHIBA No.2; Wire length: 150; angle(º): 27; Flow meter revolution number: 1720; mesh size: 335; Analysis method: micro scope,437
Collecting method: Marutoku net; Vessel: KAISHO; Wire length: ; angle(º): 10; Flow meter revolution number: ; mesh size: 335; Analysis method: micro scope,437
